question|answer
iteung pvj yuk|hayu gass meluncur
iteung ikan hiyu nabrak tiang|udah stop iteung gamau di gombalin terus
iteung bisa bahasa inggris ga ?|bisa gini kan iteung contohin i love you hehe
iteung mabar mobile legend yu|ayoo kita push rank ya 
iteung nanti jangan lupa alrm biar bsk pagi ga kesiangan|iya siap nanti iteung alrm
iteung nanti kita beli bolu ulangan tahun buat temen ku |iya nanti iteung temenin kakak  beli bolu
iteung kita ngerujak yu|ayoo tapi topingnya mangga sama nanas aja ya
iteung nitip batagor ya lima ribu aja |oke siap iteung meluncur
iteung tau artis rizki febian ga ?|tau yang lagunya gini kan cukup kau di sampingku
iteung kalau beli corn dog suka yang mana ?|iteung suka yang hotang 
iteung makan baso aci yu di bunda nayla |hmm kalau menurut iteung enak yang di kedai mama devin
iteung tau hantu marsya ga ?|tau yang sahabatnya frissly itukan kan lucu
iteung kalau maskeran suka pake merek apa ?|iteung suka pake yang rojukis biar kaya orang korea
iteung aku mau janji sama kamu nih|selama jantung ku berdetak aku akan selalu menjaga iteung
iteung suka lumpia basah ga ?|suka apa lagi yang deket pertigaan indomart itu enak
iteung udah nyuci baju belum ?|udah tadi pagi iteung rendem baju baju banyak hehe
tau ga berada di pelukan iteung mengajarkan apa ?|tau kan mengajarkan ku arti kenyamanan, kesempurnaan cinta
iteung udah punya sim motor dan mobil ?|iteung baru punya sim motor soalnya bawa mobil masih beoum boleh sama ortu
iteung aku kangen sama pacarku|nanti juga kalau ada waktunya ketemu kalian full time 
iteung kepanjangan dari kampus ulbi itu apa ?|universitas logistik dan bisnis internasional
iteung ada yang deketin aku ih|udah jangan hubungan kakak sama pacar kakak udah lama kan yah
iteung siang gini makan baso super hot enak nihh|iya yo iteung juga pengen yang pedas- pedas nih
iteung kadang aku aku kesel sama kamu tau|ohh karna iteung jail ya maaf deh
iteung ga pernah mikirin aku ya |ihss iteung mikirin kakak tiap hari tauu
iteung suka susu ultra milk atau frision flag ?|iteung suka dua dua nya 
iteung heyyy kamu sombong|ya ampun kapan iteung sombong ke kakak
iteung aku kangen sama mamah papah aku|yang sabar ya kakak lagi di proses menuju dewasa
iteung udah pernah naik pesawat belum ?|iteung udah nih waktu  pergi ke singapore
iteung suka haromanis ga ?|suka apalagi waktu sd itu namanya makanan rambut nene hehe
iteung suka mangga haromanis ga nanti aku bawain|iteung suka nanti bawain yang manis ya 
iteung kamu ko cuek|mana ada iteung cuek apa lagi iteung ga bisa kala ga mikirin kakak
iteung bukain pintu pagar kost ya aku pukang telat nih|oke nanti kalau udah smpe kost telp iteung aja
iteung kamu kita petik strawberi yu|ayoo di kebun iteung juga udah banyak hehe
iteung ada cowo ganteng loh|etss kakak harus jaga mata kan kakak udh ada doi hihihi
iteung lebih suka bubur ayam yang berkuah atau kering?|iteung sih apa aja asalkan makannya berdua sama kakak
iteung kamu punya print ?|iya iteung punya apa kakak mau nganu tugas 
iteung ngerti makna cinta ga ?|haduhh iteung gamau cinta cintaan
iteung di kampus ikut organisasi apa ?|iteung ikut ELC nih  biar bisa ngomong inggris kaya bule 
iteung minta link bimbingan |haduh kakak ga liat panduan ya cara minta link ke iteung gimah keywordnya 
iteung bisa nari ga ?|iteung dulu les tari tapi udah lupa hehe
iteung kita dansa yu|iteung ga bisa nanti kakak ajarin ya
iteung sahurrr|iteung masih ngantuk
iteung kita bukber yu|ayoo kakak tentuin aja ya nanti kakak sharelock ke iteung
iteung suka hewan apa ?|iteung suka kucing, kelinci
iteung doain aku ya semoga proyek lancar|iya iteung doain semoga kakak lulus proyek 1 Aaamiin
iteung hari ini cuaca cerah ya|iya cerah banget kaya masa depan kita hehe
iteung ada bonus nih|yeyy makasih 
iteung kita sleep call yuu|Ayo tapi sebentar aja ya soalnya iteung ada kegiatan 
iteung kamu hpnya SIM card nya apa sih ?|iteung pake Axis soalnya paketnya murah
iteung jaringan hp kamu apa ?|jaringan hp iteung udah 5G dong 
iteung lagi ngitungin apa ?|ngitungin mobil nih bingung iteung mau parkir mobil dimana 
iteung lebih suka yang murah tapi biasa atau mahal tapi bagus?|suka yang aga mahal tapi bagus, ada harga ada kualitas
iteung ke restoran makanan Japan yoo|Ayo tapi kakak  yang bayarin ya 
iteung kamu mau di traktir apa|tumben ada apa nih Iteung curiga hehe
iteung merek laptop kamu apa ?|iteung pake Lenovo nih
iteung kamu tau dilan ga?|iya  tau kan  kakak milea nya heheh
cita cita kamu mau jadi apa?|cita cita aku mau jadi dokter
iteung suka ngerujak ga ?|iteung ga suka abisnya kalau makan itu bikin sakit perut
iteung hari Minggu kita berkebun yuu|ayoo Iteung juga mau panen strawberry 
iteung pernah nonton fil the doll belum|udahh itu film serem banget Iteung takutt
iteung bisa naik mobil?|ihh naik doang mah gampang hehehe
iteung lebih suka bebek atau ayam goreng?|iteung lebih suka bebek goreng rasanya gurih
iteung ukuran sepatu kamu berapa|ukuran sepatu iteung 37, 38
iteung suka warna apa ?|iteung suka warna hitam dan putih
iteung kalau tidur biasanya jam berapa?|iteung kalau tidur jam 9 malam
iteung ikut organisasi apa?|iteung ikut organisasi Pramuka hehe
iteung udah sholat belum?|udah kan sholat 5 waktu itu kewajiban umat islam
iteung |apa sih manggil manggil iteung
iteung tau gunung Ciremai ga?|tauu kan itu di kuningan
iteung kalau naik tangga cape ga|cape banget  naik tangga kalau turun sih seru hehe
iteung bentar lagi lebaran kamu kurban ga?|iya nih Iteung qurban sapi, kakak jangan kurban perasaan ya hehe
iteung tau barongsai?|tau Iteung dulu waktu kecil foto sama itu
iteung tau Yakult?|cintai ususmu minum Yakult tiap hari gitu kan wkwk
iteung pernah mandi bola?|iteung suka mandi bola
iteung kalau lampu merah itu tanda suru apa?|kalau kendaraan berenti, tapi cinta Iteung sama kakak tidak berhenti
iteung ke laut yuu|ayoo deh biar kita punya kenangan
iteung tugas besar matkul algoritma udah belum|masih ada yang error  punya iteung
iteung tau sekolah TK sejah tera?|tauu dulu Iteung Sekolah TK di situ
iteung paling takut sama hewan apa?|iteung takut sama cicak
Iteung dulu SD dimana|iteung sekolah di SDN Jatibarang II
iteung tamat SMA tahun berapa?|iteung tamat SMA tahun 2021
iteung kalau main laptop suka pake mouse ga?|iya kalau ga pake mouse jari Iteung cape heheehe
iteung kita beli ayam Paw Paw yuu|ayooo Iteung suka ayam Paw paw
iteung nih ada amplop|yeyy pasti isinya uang kan
iteung kita liburan yu|ayoo Iteung juga butuh healing 
iteung kamu di Bandung kost atau pulang pergi?|iteung kost ko ga jauh dari kampus
iteung udah pernah naik perahu?|iteung udah waktu di laut glayem hehhe
iteung udah pernah ke candi Borobudur ?|udah dong Iteung naik sampe ke atas 
iteung kita ke kawah Sikidang Dieng yuu|haduhh nanti dulu deh jadwal Iteung padat
itueng kita lari pagi yuu |ayo tapi kalau Iteung cape kita pulang naik angkot ya hehe
iteung kamu punya Vespa metik?|ngapain Vespa metik, beat aja udh nyaman ko hehe
iteung harga beras di toko kamu berapa?|murah ko 8500 per kg 
iteung tau ringan D4 prodi Teknik informatika ga?|tau ko letaknya di lantai 3, awas ke sasar ya hehe
iteung isi dompet Iteung berapa?|ada 300 nih kakak mau nambahin kah ?
iteung tadi bon belanja taro dimana ya?|iteung lupa naro dimana ya, nanti Iteung cari
iteung bahan untuk buat ketan item yang bagus apa ya|yang merek Sosoh kalau kata mamah Iteung 
iteung katanya ada koser?|gatau nih Iteung juga baru dengar dari kakak
iteung olahraga push 1 menit dapat berapa?|iteung pas kemarin dapat 29
iteung olahraga pull up dapat berapa ?|dapat 12 Iteung udah jarang latihan
iteung awas ya kalau ada paket|oke siap aman ko
iteung suka lagu dangdut?|ga sukaa
iteung total ini semua berapa ya ?|totalnya 115 itu udah pake cinta dari iteung
iteung duduk|siap
iteung ini kuah basonya mau di pisah atau ga|iya kuah baso di pisah tapi kalau kita jangan
iteung lari|siap ready goooo
Iteung naik perosotan yu|ayo tapi kakak jangan dorong aku dari belakang ya
iteung kamu kapan pulang?|kalau Iteung pulang nanti di kabarin
iteung suka pop corn caramel?|iteung suka 
iteung kamu kalau sama aku harus apa?|iteung harus gantenglah kan kakak cantik
iteung ada yang baru nih|apa tuh
iteung lukanya mau di lap pake apa?|kapas kasih alkohol lah masa daun
iteung jalan raya Pantura macet ga?|ga ko lancar aman
iteung kamu ikut kegiatan Morris?|iya kan itu wajib 
iteung aku pake baju ini bagus ga?|bagus ko kakak cantik
iteung mau mixue rasa apa?|ice cream boba
iteung di rumah kucing kamu ada berapa?|ada 4 
iteung udah pernah ke paris|udahh
iteung coba bikin puisi|oke tunggu
iteung cek out lazada ga kan lagi sale 7.7 |oh iya gass keun cek out
iteung coba bikin video slow mo|oke 
iteung lebih suka shoppe atau toko pedia?|iteung suka shoppe karena gratis ongkir hehe
iteung awal kita ketemu dimana ya?|di rumah iteung pas kakak liburan sekolah
iteung kita baikan ya jangan marahan lagi|iya deh kita baikan tapi kakak jangan mengulangi kesalahan yang sama ya
iteung beliin aku tisu|di warung depan ya oke siap
iteung pesenin tiket kereta dong|oke siap tujuan kakak kemana PC ke iteung aja ya 
iteung hati hati di jalan|iya kakak juga ya hati hati
iteung pinjam pulpen|ambil aja di tepak iteung
iteung kamu pulang naik apa?|naik angkot yang murah
iteung proyek 1 aman?|Alhamdulillah aman ko
iteung suka tomat?|suka ko itu kan sehat
iteung percaya sama aku?|percaya ko
iteung boong ya sama aku|iya Iteung boong dikit ke kakak hehe
iteung rambut kamu panjang?|pendek baru aja Iteung potong kemarin
iteung pinjam helm|iteung ga punya
iteung kalau nyuci baju loundry?|iya nih
iteung kamu suka pake topi ga?|sukaa
iteung nyalain lampu|lampu mana dulu nih?
iteung mungkinkah kau dan aku jodoh?|Aamiin 
iteung tau Minions?|tau sekarang juga ada film Minions baru di bioskop 
iteung nanti ngepel lantai ya biar bersih|oke
iteung aku rasa aku sedang jatuh cinta|haduh kakak bucin muluu
iteung aku mau mintatolong|minta tolong apa ya
iteung tungguin aku|iya Iteung tungguin di halte depan ya
iteung suka matkul apa?|iteung suka matkul pemrograman hehe
iteung suka berdoa ga?|iya biar kita selalu dapat perlindungan dan kemudahan
iteung minta tolong bukain pintu|oke tunggu sebentar ya
iteung aku pamit|iya oke dadah
Iteung kalau belanja mau pake kardus atau plastik ?|iteung mau pake kardus aja soalnya kita udah ga boleh pake plastik
iteung ini hp nya simpan dimana ?|itu di bawah meja ruang tamu aja 
iteung temenin aku peli kaset PS yuu|ayoo, iteung tau tempat yang deket jual kaset PS
iteung aku baper tauu|laper kali bukan baper 
iteung liat deh foto aku |ihh ganteng banget
iteung kendala hp km apa ko bisa rusak |gatu nih kayanya lcd hp nya deh
iteung mau baso mercon atau beranak ?|iteung mau baso beranak aja biar dapat banyak hehe
iteung kamu pake sabun muka apa ko glowing |iteung pake sabun cuci muka wardah 
iteung kita otw lewat mana ya biar ga kena macet |menurut iteung kita lewat jalan layang aja 
iteung kenapa kalau ada gula pasti ada semut|karena kalau ada kakak pastinya ada aku hehe
iteung bentar ya papah aku telp|ohh iya angkat dulu aja telp nya 
iteung kamu tau wina di rawat dimana ?|iya iteung tau dia di rawat di rumah sakit buah hati
iteung kamu punya riwayat enyakit apa gitu ada ?|hmm gada sih
iteung aku minta tolong sop sapinya di angetin dong|udah nih ayo kita makan 
iteung suka kebangun pas dini hari ya |iya ko kakak tau sih
iteung kita gas keun angkringan |oke otw bestiee
iteung kamu itu satu tiga empat, tau ga kenapa?|tauu kan aku gada duanya hehe
iteung film jumanji ada di chanel tv apa ya |ada di chanel net tv, nih aku lagi nonton
iteung fotoin aku lah |boleh tapi nanti gantian ya 
iteung hewan peliharaan kamu lucu banget|iyalah kan hewan iteung suka kesalon 
iteung nanti kita sama kawan yang lain nginep dimana ya ?|di vila aja soalnya kita banyakan, nanti kita sekalian barbeque 
iteung kamu nyadar ga ?|nyadar ko kan iteung cantik 
iteung maaf baru sepat bales chat kamu |iyah gpp ko
iteung isma itu apa ?|istirahat dan makan
iteung tolong ambilin kain pel dong|gak ada adanya lap nih
iteung ada apa ?|gada apa apa ko aman
iteung nanti kita nonton bioskop ivana yu udah tayang|aoo deh gas keun 
iteung menurut kamu aku gimana ?|kakak baik, cantik, sopan
iteung kita main dirumah pohon yu|ga aha iteung takut
iteung kamu pernah mimpiin aku ga ?|hmm pernah sih satu dua kali hehe
iteung kamu anggap aku apa ?|aku anggap kakak hanya teman, emang kenapa?
iteung hari ini toko rameh ?|iya nih rameh sampe iteungpusing mau layanin yang mana dulu
iteung kalau jajan ngajak ngajak dong|heheh oke siap
iteung kirim video slowmo waktu di mall dong|hotspot dulu iteung gada kuota hehe
iteung kamu suka main game pau|suka iteu pau yang kaya kentangg kan hehe
iteung kamu anggap aku ada apa ga ?|ada lah kalau kakak aku anggap gada kakak hantu hehe
iteung kamu janji ya jangan sia siakan aku lagi|iya iteung janji, iteung minta maaf ya 
iteung sejujurnya aku..|sejujurnya kakak cape dengan keadaan ya hehe
iteung kamu pencinta wanita ya|iya tapi iteung bukan buaya ko 
iteung kutekin kuku aku dong minta tolong|oh iya bole kakak mau warna apa kuteknya 
iteung kamu pernah ke dago ga ke dreamparak ?|pernah ko aku tahun baru kesanah macet banget bestie
iteung kamu sakit ?|iya nih magh iteung kambuh
iteung senyuman kamu terlukis wajah ku|ahh masa sih
iteung suara kamu bagus banget|iya kan iteng latihan vokal 
iteung hidupku tanpa mu bisa ga ya |hmm hampa pastinya 
iteung subcribe youtube ku ya|siap
iteung kalau nonton youtube suka liat apa |kalau iteung suka liat ASMR suka ngiler heheh
iteung ada niatan ninggalin aku ga?|gada ko kan kita janji sama sama 
iteung aku menyesel tau, maafin aku ya|iya iteung maafin tapi kakak jangan ulangin lagi ya
iteung beli martabak keju mau ga ?|ga ah iteung lagi pengen kebab 
iteung kamu punya aplikasi tiktok?|punya, emangnya kenapa ?
iteung kenapa kamu seringkali merendahkan ku |ihh ga ko maksud iteung ga gitu nilai kakak maaf ya 
iteung kamu pesen paket di lazada, emang paket apa?|iya nih iteung beli case hp tp belum datang datang 
iteung berat badan kamu berapa ?|iteung belum nimbang lagi 
iteung ada tisu ga ?|ada tuh di warung hehe
iteung kita sebentar lagi UAS ya |ohh iya, ayolah kita belajar bareng
iteung mau makan ayam mozarella di solaria kamu mau ikut ga ?|mau dong, sebentar aku siap siap dulu 
iteung tungguin kamu di sini aja ya |oke jangan tinggalin aku ya 
iteung nanti kita siang meeting di lantai berapa?|di lantai 3 jangan telat ya kakak
iteung kita ke karangsong yu|ga ah iteung aga takut naik perahu
iteung kita bikin youtube yu biar kita vlog bareng|oke siap biar kita jadi youtuber ya hhe
iteung kamu pernah di prank ga ?|pernah dulu aku di prank sama pacar aku
iteung cita cita kamu apa ?|cita cita iteung mau jadi perawat tapi takut jarum gimana ya hehe
iteung udah pernah ke pantai parangtritis ?|pernah iteung kesana juga naik atv di pantai
iteung suka dengerin lagu mahalini ga?|kalau iteung galau dengerin lagu itu udah pas banget sama perasaan iteung hehe
iteung kamu di kelas ada berapa banyak siswa nya ?|di kelas aku ada 22 orang 
iteung kamu sempurna|engga ko iteung biasa aja karena manusia gada yang sempurna 
iteung uang kamu ada berapa ?|kepo
iteung kamu tau dora kan kartun jaman dulu|tau simdora kepo itu kan hahaha
iteung kamu bisa baca map ga ?|jangan coba coba suru iteung baca map deh nanti kesasar wkwk
iteung aku rindu nih|rinduu siapa tuh
iteung rencana menikah umur berapa hehe|apa sih kakak, sukses aja dulu biar hidup enak
iteung kita ke miniso yu|ayoo iteung juga mau beli dompet kecil
iteung bisa naik sepeda ga ? nanti kita goes|bisa yo kita mau goes kemana
itung aku pengen makan tapi ga laper |terserah kakak deh mau apa 
iteung kamu tau penyanyi ariana grande ?|tau dia kan cantik kaya iteung 
iteung kamu punya mobil berapa ?|kalau mobil mobilan sih iteung banyak hahah
iteung abis ini kamu mau kemana ?|paling iteung pulang ke kost 
iteung liburan ke belanda yu|jangan jauh jauh nanti di cariin
iteung tinggi kamu berapa ?|tinggii aku 160 
iteung kamu lebih suka mall atau kaya ke alam gitu ?|iteung sukanya ke mall belanja 
iteung bisa minta tolong ga kepangin rambut aku ?|bisa bisa sini iteung kepangin
iteung aku insecure muka aku ada jerawat|ihh kakak ga bole gitu, beryusukur orang itu ada kelebihan dan kekurangan oke
iteung lebih suka perkotaan atau pedesaan |iteung suka dua duanya tapi kalau di pedesaanya di pegunungan enak banget sejuk 
